Time,Conductivity (mS),Conductivity @25*C (mS),Temperature_1
12:29:54,2.04,2.37,17.75
12:29:55,2.04,2.37,17.75
12:29:56,2.04,2.38,17.5
12:29:57,2.57,2.98,17.75
12:29:58,2.57,2.98,17.75
12:29:59,2.57,2.98,17.75
12:30:00,2.57,2.98,17.75
12:30:01,2.04,2.37,17.75
12:30:02,2.57,2.98,17.75
12:30:03,2.57,3,17.5
12:30:04,2.57,3,17.5
12:30:04,2.57,3.01,17.25
12:30:05,2.57,2.98,17.75
12:30:06,2.57,3,17.5
12:30:07,3.03,3.55,17.25
12:30:08,3.03,3.55,17.25
12:30:09,3.03,3.51,17.75
12:30:10,3.03,3.55,17.25
12:30:11,3.03,3.51,17.75
12:30:12,3.03,3.51,17.75
12:30:13,4.08,4.71,18
12:30:14,3.03,3.53,17.5
12:30:15,3.56,4.11,18
12:30:16,4.08,4.76,17.5
12:30:17,3.56,4.13,17.75
12:30:18,3.56,4.13,17.75
12:30:19,3.56,4.15,17.5
12:30:20,3.56,4.08,18.25
12:30:21,3.56,4.17,17.25
12:30:22,3.56,4.13,17.75
12:30:23,4.09,4.77,17.5
12:30:24,4.08,4.76,17.5
12:30:25,4.09,4.72,18
12:30:26,3.56,4.13,17.75
12:30:27,4.61,5.29,18.25
12:30:28,4.09,4.77,17.5
12:30:29,4.62,5.33,18
12:30:30,4.09,4.77,17.5
12:30:31,4.62,5.36,17.75
12:30:32,4.61,5.35,17.75
12:30:33,4.61,5.32,18
12:30:34,5.14,5.99,17.5
12:30:35,5.14,5.99,17.5
12:30:36,5.14,5.99,17.5
12:30:37,4.61,5.35,17.75
12:30:38,5.14,5.96,17.75
12:30:39,4.61,5.35,17.75
12:30:40,5.67,6.58,17.75
12:30:41,5.14,6.03,17.25
12:30:42,5.14,5.99,17.5
12:30:43,5.67,6.5,18.25
12:30:44,5.14,5.96,17.75
12:30:45,5.14,5.93,18
12:30:46,5.14,5.93,18
12:30:47,5.67,6.58,17.75
12:30:48,5.67,6.58,17.75
12:30:48,5.14,5.93,18
12:30:49,5.67,6.61,17.5
12:30:50,5.67,6.58,17.75
12:30:51,5.67,6.61,17.5
12:30:52,5.67,6.61,17.5
12:30:53,5.67,6.5,18.25
12:30:54,5.67,6.61,17.5
12:30:55,5.67,6.58,17.75
12:30:56,6.13,7.19,17.25
12:30:57,5.67,6.54,18
12:30:58,6.13,7.11,17.75
12:30:59,6.13,7.19,17.25
12:31:00,6.13,7.03,18.25
12:31:01,6.13,7.15,17.5
12:31:02,6.13,7.07,18
12:31:03,6.13,7.15,17.5
12:31:04,5.67,6.54,18
12:31:05,5.67,6.61,17.5
12:31:06,6.13,7.15,17.5
12:31:07,6.13,7.07,18
12:31:08,6.14,7.2,17.25
12:31:09,6.13,7.03,18.25
12:31:10,6.13,7.11,17.75
12:31:11,6.13,7.03,18.25
12:31:12,6.13,7.15,17.5
12:31:13,6.13,7.07,18
12:31:14,6.66,7.72,17.75
12:31:15,6.66,7.72,17.75
