Time,"Conductivity, mS","Temperature, C"
14:13:32,0.321,24.3
0,0,0
0,0,0
14:13:34,0.325,24.5
0,0,0
0,0,0
14:13:36,0.329,24.6
0,0,0
0,0,0
14:13:38,0.334,24.7
0,0,0
0,0,0
14:13:40,0.338,24.7
0,0,0
0,0,0
14:13:42,0.342,24.8
0,0,0
0,0,0
14:13:44,0.347,24.8
0,0,0
0,0,0
14:13:46,0.352,24.8
0,0,0
0,0,0
14:13:48,0.352,24.9
0,0,0
0,0,0
14:13:50,0.357,25
0,0,0
0,0,0
14:13:52,0.361,25
0,0,0
0,0,0
14:13:54,0.366,25.1
0,0,0
0,0,0
14:13:56,0.371,25.1
0,0,0
0,0,0
14:13:58,0.375,25.1
0,0,0
0,0,0
14:14:00,0.379,25.2
0,0,0
0,0,0
14:14:02,0.383,25.2
0,0,0
0,0,0
14:14:04,0.387,25.2
0,0,0
0,0,0
14:14:06,0.387,25.2
0,0,0
0,0,0
14:14:08,0.391,25.3
0,0,0
0,0,0
14:14:10,0.396,25.3
0,0,0
0,0,0
14:14:12,0.4,25.3
0,0,0
0,0,0
14:14:14,0.405,25.4
0,0,0
0,0,0
14:14:16,0.409,25.4
0,0,0
0,0,0
14:14:18,0.413,25.4
0,0,0
0,0,0
14:14:20,0.417,25.4
0,0,0
0,0,0
14:14:22,0.421,25.4
0,0,0
0,0,0
14:14:24,0.421,25.5
0,0,0
0,0,0
14:14:26,0.424,25.5
0,0,0
0,0,0
14:14:28,0.428,25.5
0,0,0
0,0,0
14:14:30,0.431,25.5
0,0,0
0,0,0
14:14:32,0.435,25.6
0,0,0
0,0,0
14:14:34,0.439,25.6
0,0,0
0,0,0
14:14:36,0.442,25.6
0,0,0
0,0,0
14:14:38,0.446,25.6
0,0,0
0,0,0
14:14:40,0.449,25.7
0,0,0
0,0,0
14:14:42,0.453,25.7
0,0,0
0,0,0
14:14:44,0.456,25.7
0,0,0
0,0,0
14:14:46,0.456,25.7
0,0,0
0,0,0
14:14:48,0.459,25.7
0,0,0
0,0,0
14:14:50,0.462,25.7
0,0,0
0,0,0
14:14:52,0.466,25.8
0,0,0
0,0,0
14:14:54,0.469,25.8
0,0,0
0,0,0
14:14:56,0.472,25.8
0,0,0
0,0,0
14:14:58,0.475,25.8
0,0,0
0,0,0
