Time,"Conductivity, mS","Temperature, C"
12:58:42,0.322,21.4
0,0,0
0,0,0
12:58:44,0.322,21.4
0,0,0
0,0,0
12:58:46,0.324,21.5
0,0,0
0,0,0
12:58:48,0.327,21.6
0,0,0
0,0,0
12:58:50,0.332,21.6
0,0,0
0,0,0
12:58:52,0.336,21.6
0,0,0
0,0,0
12:58:54,0.34,21.7
0,0,0
0,0,0
12:58:56,0.345,21.7
0,0,0
0,0,0
12:58:58,0.349,21.7
0,0,0
0,0,0
12:59:00,0.353,21.7
0,0,0
0,0,0
12:59:02,0.353,21.8
0,0,0
0,0,0
12:59:04,0.357,21.8
0,0,0
0,0,0
12:59:06,0.361,21.8
0,0,0
0,0,0
12:59:08,0.365,21.9
0,0,0
0,0,0
12:59:10,0.369,21.9
0,0,0
0,0,0
12:59:12,0.373,21.9
0,0,0
0,0,0
12:59:14,0.377,21.9
0,0,0
0,0,0
12:59:16,0.38,21.9
0,0,0
0,0,0
12:59:18,0.384,22
0,0,0
0,0,0
12:59:20,0.384,22
0,0,0
0,0,0
12:59:22,0.388,22
0,0,0
0,0,0
12:59:24,0.391,22
0,0,0
0,0,0
12:59:26,0.395,22.1
0,0,0
0,0,0
12:59:28,0.399,22.1
0,0,0
0,0,0
12:59:30,0.402,22.1
0,0,0
0,0,0
12:59:32,0.406,22.1
0,0,0
0,0,0
12:59:34,0.409,22.2
0,0,0
0,0,0
12:59:36,0.412,22.2
0,0,0
0,0,0
12:59:38,0.415,22.2
0,0,0
0,0,0
12:59:40,0.418,22.2
0,0,0
0,0,0
12:59:42,0.422,22.2
0,0,0
0,0,0
12:59:44,0.422,22.3
0,0,0
0,0,0
12:59:46,0.425,22.3
0,0,0
0,0,0
12:59:48,0.428,22.3
0,0,0
0,0,0
12:59:50,0.431,22.3
0,0,0
0,0,0
12:59:52,0.434,22.3
0,0,0
0,0,0
12:59:54,0.437,22.4
0,0,0
0,0,0
12:59:56,0.44,22.4
0,0,0
0,0,0
12:59:58,0.443,22.4
0,0,0
0,0,0
13:00:00,0.445,22.4
0,0,0
0,0,0
13:00:02,0.448,22.4
0,0,0
0,0,0
13:00:04,0.448,22.4
0,0,0
0,0,0
13:00:06,0.451,22.5
0,0,0
0,0,0
13:00:08,0.454,22.5
0,0,0
0,0,0
13:00:10,0.457,22.5
0,0,0
0,0,0
13:00:12,0.46,22.5
0,0,0
0,0,0
13:00:14,0.463,22.5
0,0,0
0,0,0
13:00:16,0.466,22.6
0,0,0
0,0,0
13:00:18,0.469,22.6
0,0,0
0,0,0
13:00:20,0.471,22.6
0,0,0
0,0,0
13:00:22,0.471,22.6
0,0,0
0,0,0
13:00:24,0.474,22.6
0,0,0
0,0,0
