Time,Conductivity,"Temperature, C"
0,0,0
0,0,0
12:38:30,56.6,21.5
0,0,0
0,0,0
12:38:32,56.6,21.5
0,0,0
0,0,0
12:38:34,56.6,21.5
0,0,0
0,0,0
12:38:36,56.6,21.5
0,0,0
0,0,0
12:38:38,56.6,21.5
0,0,0
0,0,0
12:38:40,56.6,21.6
0,0,0
0,0,0
12:38:42,56.6,21.5
0,0,0
0,0,0
12:38:44,56.6,21.5
0,0,0
0,0,0
12:38:46,56.6,21.5
0,0,0
0,0,0
12:38:48,56.6,21.6
0,0,0
0,0,0
12:38:50,56.6,21.6
0,0,0
0,0,0
12:38:52,56.5,21.6
0,0,0
0,0,0
12:38:54,56.5,21.5
0,0,0
0,0,0
12:38:56,56.5,21.6
0,0,0
0,0,0
12:38:58,56.5,21.6
0,0,0
0,0,0
12:39:00,56.5,21.6
0,0,0
0,0,0
12:39:02,56.5,21.6
0,0,0
0,0,0
12:39:04,56.5,21.6
0,0,0
0,0,0
12:39:06,56.5,21.6
0,0,0
0,0,0
12:39:08,56.5,21.6
0,0,0
0,0,0
12:39:10,56.5,21.6
0,0,0
0,0,0
12:39:12,56.5,21.6
0,0,0
0,0,0
12:39:14,56.5,21.6
0,0,0
0,0,0
12:39:16,56.5,21.6
0,0,0
0,0,0
12:39:18,56.5,21.6
0,0,0
0,0,0
12:39:20,56.5,21.6
0,0,0
0,0,0
12:39:22,56.5,21.6
0,0,0
0,0,0
12:39:24,56.5,21.6
0,0,0
0,0,0
12:39:26,56.5,21.6
0,0,0
0,0,0
12:39:28,56.5,21.6
0,0,0
0,0,0
12:39:30,56.5,21.6
0,0,0
0,0,0
12:39:32,56.5,21.6
0,0,0
0,0,0
12:39:34,56.5,21.6
0,0,0
0,0,0
12:39:36,56.5,21.6
0,0,0
0,0,0
12:39:38,56.5,21.6
0,0,0
0,0,0
12:39:40,56.5,21.6
0,0,0
0,0,0
12:39:42,56.5,21.6
0,0,0
0,0,0
12:39:44,56.5,21.6
0,0,0
0,0,0
12:39:46,56.5,21.6
0,0,0
0,0,0
12:39:48,56.5,21.6
0,0,0
0,0,0
12:39:50,56.5,21.6
0,0,0
0,0,0
12:39:52,56.5,21.5
0,0,0
0,0,0
12:39:54,56.5,21.6
0,0,0
0,0,0
12:39:56,56.5,21.6
0,0,0
0,0,0
12:39:58,56.5,21.6
0,0,0
0,0,0
12:40:00,56.5,21.6
0,0,0
0,0,0
12:40:02,56.5,21.6
0,0,0
0,0,0
12:40:04,56.5,21.6
0,0,0
0,0,0
12:40:06,56.5,21.6
0,0,0
0,0,0
12:40:08,56.5,21.6
0,0,0
0,0,0
12:40:10,56.5,21.6
0,0,0
0,0,0
12:40:12,56.5,21.6
0,0,0
0,0,0
12:40:14,56.5,21.6
0,0,0
0,0,0
12:40:16,56.5,21.6
0,0,0
0,0,0
12:40:18,56.5,21.6
0,0,0
0,0,0
12:40:20,56.5,21.6
0,0,0
0,0,0
12:40:22,56.5,21.6
0,0,0
0,0,0
12:40:24,56.5,21.5
0,0,0
0,0,0
12:40:26,56.5,21.5
0,0,0
0,0,0
12:40:28,0.1,21.5
0,0,0
0,0,0
12:40:30,0,21.5
0,0,0
0,0,0
12:40:32,0,21.6
0,0,0
0,0,0
12:40:34,0,21.7
0,0,0
0,0,0
12:40:36,0,21.8
0,0,0
0,0,0
12:40:38,0.325,22
0,0,0
0,0,0
12:40:40,0.297,22
0,0,0
0,0,0
12:40:42,0.297,22
0,0,0
0,0,0
12:40:44,0.296,22.1
0,0,0
0,0,0
12:40:46,0.296,22.1
0,0,0
0,0,0
12:40:48,0.296,22.1
0,0,0
0,0,0
12:40:50,0.296,22.2
0,0,0
0,0,0
12:40:52,0.296,22.2
0,0,0
0,0,0
12:40:54,0.296,22.2
0,0,0
0,0,0
12:40:56,0.296,22.2
0,0,0
0,0,0
12:40:58,0.295,22.2
0,0,0
0,0,0
12:41:00,0.295,22.2
0,0,0
0,0,0
12:41:02,0.295,22.2
0,0,0
0,0,0
12:41:04,0.295,22.2
0,0,0
0,0,0
12:41:06,0.296,22.2
0,0,0
0,0,0
12:41:08,0.296,22.2
0,0,0
0,0,0
12:41:10,0.296,22.3
0,0,0
0,0,0
12:41:12,0.295,22.3
0,0,0
0,0,0
12:41:14,0.295,22.3
0,0,0
0,0,0
12:41:16,0.295,22.3
0,0,0
0,0,0
12:41:18,0.295,22.3
0,0,0
0,0,0
12:41:20,0.295,22.3
0,0,0
0,0,0
12:41:22,0.295,22.3
0,0,0
0,0,0
12:41:24,0.295,22.3
0,0,0
0,0,0
12:41:26,0.295,22.3
0,0,0
0,0,0
12:41:28,0.295,22.3
0,0,0
0,0,0
12:41:30,0.295,22.3
0,0,0
0,0,0
12:41:32,0.295,22.3
0,0,0
0,0,0
12:41:34,0.295,22.3
0,0,0
0,0,0
12:41:36,0.295,22.3
0,0,0
0,0,0
12:41:38,0.295,22.3
0,0,0
0,0,0
12:41:40,0.295,22.3
0,0,0
0,0,0
12:41:42,0.295,22.3
0,0,0
0,0,0
12:41:44,0.295,22.3
0,0,0
0,0,0
12:41:46,0.295,22.3
0,0,0
0,0,0
12:41:48,0.295,22.3
0,0,0
0,0,0
12:41:50,0.295,22.3
0,0,0
0,0,0
12:41:52,0.295,22.3
0,0,0
0,0,0
12:41:54,0.295,22.3
0,0,0
0,0,0
12:41:56,0.295,22.3
0,0,0
0,0,0
12:41:58,0.295,22.3
0,0,0
0,0,0
12:42:00,0.295,22.3
0,0,0
0,0,0
12:42:02,0.295,22.3
0,0,0
0,0,0
12:42:04,0.295,22.3
0,0,0
0,0,0
12:42:06,0.295,22.3
0,0,0
0,0,0
12:42:08,0.295,22.3
0,0,0
0,0,0
12:42:10,0.295,22.3
0,0,0
0,0,0
12:42:12,0.295,22.3
0,0,0
0,0,0
12:42:14,0.295,22.3
0,0,0
0,0,0
12:42:16,0.295,22.3
0,0,0
0,0,0
12:42:18,0.295,22.3
0,0,0
0,0,0
12:42:20,0.295,22.3
0,0,0
0,0,0
12:42:22,0.296,22.3
0,0,0
0,0,0
12:42:24,0.296,22.4
0,0,0
0,0,0
12:42:26,0.295,22.4
0,0,0
0,0,0
12:42:28,0.295,22.4
0,0,0
0,0,0
12:42:30,0.295,22.3
0,0,0
0,0,0
12:42:32,0.295,22.3
0,0,0
0,0,0
12:42:34,0.295,22.3
0,0,0
0,0,0
12:42:36,0.295,22.4
0,0,0
0,0,0
12:42:38,0.295,22.3
0,0,0
0,0,0
12:42:40,0.295,22.4
0,0,0
0,0,0
12:42:42,0.295,22.4
0,0,0
0,0,0
12:42:44,0.295,22.4
0,0,0
0,0,0
12:42:46,0.295,22.4
0,0,0
0,0,0
12:42:48,0.295,22.4
0,0,0
0,0,0
12:42:50,0.295,22.4
0,0,0
0,0,0
12:42:52,0.295,22.3
0,0,0
0,0,0
12:42:54,0.295,22.4
0,0,0
0,0,0
12:42:56,0.295,22.4
0,0,0
0,0,0
12:42:58,0.295,22.4
0,0,0
0,0,0
12:43:00,0.295,22.4
0,0,0
0,0,0
12:43:02,0.295,22.4
0,0,0
0,0,0
12:43:04,0.295,22.4
0,0,0
0,0,0
12:43:06,0.295,22.4
0,0,0
0,0,0
12:43:08,0.295,22.4
0,0,0
0,0,0
12:43:10,0.295,22.4
0,0,0
0,0,0
12:43:12,0.295,22.4
0,0,0
0,0,0
12:43:14,0.295,22.4
0,0,0
0,0,0
12:43:16,0.295,22.4
0,0,0
0,0,0
12:43:18,0.295,22.4
0,0,0
0,0,0
12:43:20,0.295,22.4
0,0,0
0,0,0
12:43:22,0.295,22.4
0,0,0
0,0,0
12:43:24,0.295,22.4
0,0,0
0,0,0
12:43:26,0.295,22.4
0,0,0
0,0,0
12:43:28,0.295,22.4
0,0,0
0,0,0
12:43:30,0.295,22.4
0,0,0
0,0,0
12:43:32,0.295,22.4
0,0,0
0,0,0
12:43:34,0.295,22.4
0,0,0
0,0,0
12:43:36,0.295,22.4
0,0,0
0,0,0
12:43:38,0.295,22.4
0,0,0
0,0,0
12:43:40,0.295,22.4
0,0,0
0,0,0
12:43:42,0.295,22.4
0,0,0
0,0,0
12:43:44,0.295,22.4
0,0,0
0,0,0
12:43:46,0.295,22.4
0,0,0
0,0,0
12:43:48,0.295,22.4
0,0,0
0,0,0
12:43:50,0.295,22.4
0,0,0
0,0,0
12:43:52,0.295,22.4
0,0,0
0,0,0
12:43:54,0.295,22.4
0,0,0
0,0,0
12:43:56,0.295,22.4
0,0,0
0,0,0
12:43:58,0.295,22.4
0,0,0
0,0,0
12:44:00,0.295,22.4
0,0,0
0,0,0
12:44:02,0.296,22.4
0,0,0
0,0,0
12:44:04,0.296,22.4
0,0,0
0,0,0
12:44:06,0.296,22.4
0,0,0
0,0,0
12:44:08,0.296,22.4
0,0,0
0,0,0
12:44:10,0.296,22.4
0,0,0
0,0,0
12:44:12,0.296,22.4
0,0,0
0,0,0
12:44:14,0.296,22.4
0,0,0
0,0,0
12:44:16,0.296,22.4
0,0,0
0,0,0
12:44:18,0.296,22.4
0,0,0
0,0,0
12:44:20,0.296,22.4
0,0,0
0,0,0
12:44:22,0.296,22.4
0,0,0
0,0,0
12:44:24,0.296,22.4
0,0,0
0,0,0
12:44:26,0.296,22.4
0,0,0
0,0,0
12:44:28,0.296,22.4
0,0,0
0,0,0
12:44:30,0.296,22.4
0,0,0
0,0,0
12:44:32,0.296,22.4
0,0,0
0,0,0
12:44:34,0.296,22.4
0,0,0
0,0,0
12:44:36,0.296,22.4
0,0,0
0,0,0
12:44:38,0.296,22.4
0,0,0
0,0,0
12:44:40,0.296,22.4
0,0,0
0,0,0
12:44:42,0.296,22.4
0,0,0
0,0,0
12:44:44,0.296,22.4
0,0,0
0,0,0
12:44:46,0.296,22.4
0,0,0
0,0,0
12:44:48,0.296,22.4
0,0,0
0,0,0
12:44:50,0.296,22.4
0,0,0
0,0,0
12:44:52,0.296,22.4
0,0,0
0,0,0
12:44:54,0.296,22.4
0,0,0
0,0,0
12:44:56,0.296,22.4
0,0,0
0,0,0
12:44:58,0.296,22.4
0,0,0
0,0,0
12:45:00,0.296,22.4
0,0,0
0,0,0
12:45:02,0.296,22.4
0,0,0
0,0,0
12:45:04,0.296,22.4
0,0,0
0,0,0
12:45:06,0.296,22.4
0,0,0
0,0,0
12:45:08,0.296,22.4
0,0,0
0,0,0
12:45:10,0.296,22.4
0,0,0
0,0,0
12:45:12,0.296,22.4
0,0,0
0,0,0
12:45:14,0.296,22.4
0,0,0
0,0,0
12:45:16,0.296,22.4
0,0,0
0,0,0
12:45:18,0.296,22.4
0,0,0
0,0,0
12:45:20,0.296,22.4
0,0,0
0,0,0
12:45:22,0.296,22.4
0,0,0
0,0,0
12:45:24,0.296,22.4
0,0,0
0,0,0
12:45:26,0.296,22.4
0,0,0
0,0,0
12:45:28,0.296,22.4
0,0,0
0,0,0
12:45:30,0.296,22.4
0,0,0
0,0,0
12:45:32,0.296,22.4
0,0,0
0,0,0
12:45:34,0.296,22.4
0,0,0
0,0,0
12:45:36,0.296,22.4
0,0,0
0,0,0
12:45:38,0.296,22.4
0,0,0
0,0,0
12:45:40,0.296,22.4
0,0,0
0,0,0
12:45:42,0.296,22.4
0,0,0
0,0,0
12:45:44,0.296,22.4
0,0,0
0,0,0
12:45:46,0.296,22.4
0,0,0
0,0,0
12:45:48,0.296,22.4
0,0,0
0,0,0
12:45:50,0.296,22.4
0,0,0
0,0,0
12:45:52,0.296,22.4
0,0,0
0,0,0
12:45:54,0.296,22.4
0,0,0
0,0,0
12:45:56,0.296,22.4
0,0,0
0,0,0
12:45:58,0.296,22.4
0,0,0
0,0,0
12:46:00,0.296,22.4
0,0,0
0,0,0
12:46:02,0.296,22.4
0,0,0
0,0,0
12:46:04,0.296,22.4
0,0,0
0,0,0
12:46:06,0.296,22.4
0,0,0
0,0,0
12:46:08,0.296,22.4
0,0,0
0,0,0
12:46:10,0.296,22.4
0,0,0
0,0,0
12:46:12,0.296,22.4
0,0,0
0,0,0
12:46:14,0.296,22.4
0,0,0
0,0,0
12:46:16,0.296,22.4
0,0,0
0,0,0
12:46:18,0.296,22.4
0,0,0
0,0,0
12:46:20,0.296,22.4
0,0,0
0,0,0
12:46:22,0.296,22.4
0,0,0
0,0,0
12:46:24,0.296,22.4
0,0,0
0,0,0
12:46:26,0.296,22.4
0,0,0
0,0,0
12:46:28,0.296,22.4
0,0,0
0,0,0
12:46:30,0.296,22.4
0,0,0
0,0,0
12:46:32,0.296,22.4
0,0,0
0,0,0
12:46:34,0.296,22.4
0,0,0
0,0,0
12:46:36,0.296,22.4
0,0,0
0,0,0
12:46:38,0.296,22.4
0,0,0
0,0,0
12:46:40,0.296,22.4
0,0,0
0,0,0
12:46:42,0.296,22.4
0,0,0
0,0,0
12:46:44,0.296,22.4
0,0,0
0,0,0
12:46:46,0.296,22.4
0,0,0
0,0,0
12:46:48,0.296,22.4
0,0,0
0,0,0
12:46:50,0.296,22.4
0,0,0
0,0,0
12:46:52,0.296,22.4
0,0,0
0,0,0
12:46:54,0.296,22.4
0,0,0
0,0,0
12:46:56,0.296,22.4
0,0,0
0,0,0
12:46:58,0.296,22.4
0,0,0
0,0,0
12:47:00,0.296,22.4
0,0,0
0,0,0
12:47:02,0.296,22.4
0,0,0
0,0,0
12:47:04,0.296,22.4
0,0,0
0,0,0
12:47:06,0.297,22.4
0,0,0
0,0,0
12:47:08,0.297,22.4
0,0,0
0,0,0
12:47:10,0.296,22.4
0,0,0
0,0,0
12:47:12,0.296,22.4
0,0,0
0,0,0
12:47:14,0.296,22.4
0,0,0
0,0,0
12:47:16,0.296,22.4
0,0,0
0,0,0
12:47:18,0.297,22.4
0,0,0
0,0,0
12:47:20,0.296,22.4
0,0,0
0,0,0
12:47:22,0.296,22.4
0,0,0
0,0,0
12:47:24,0.296,22.4
0,0,0
0,0,0
12:47:26,0.296,22.4
0,0,0
0,0,0
12:47:28,0.296,22.4
0,0,0
0,0,0
12:47:30,0.296,22.4
0,0,0
0,0,0
12:47:32,0.296,22.4
0,0,0
0,0,0
12:47:34,0.296,22.4
0,0,0
0,0,0
12:47:36,0.297,22.4
0,0,0
0,0,0
12:47:38,0.296,22.4
0,0,0
0,0,0
12:47:40,0.296,22.4
0,0,0
0,0,0
12:47:42,0.296,22.4
0,0,0
0,0,0
12:47:44,0.296,22.4
0,0,0
0,0,0
12:47:46,0.296,22.4
0,0,0
0,0,0
12:47:48,0.296,22.4
0,0,0
0,0,0
12:47:50,0.296,22.4
0,0,0
0,0,0
12:47:52,0.296,22.4
0,0,0
0,0,0
12:47:54,0.296,22.4
0,0,0
0,0,0
12:47:56,0.297,22.4
0,0,0
0,0,0
12:47:58,0.297,22.4
0,0,0
0,0,0
12:48:00,0.297,22.4
0,0,0
0,0,0
12:48:02,0.297,22.4
0,0,0
0,0,0
12:48:04,0.297,22.4
0,0,0
0,0,0
12:48:06,0.297,22.4
0,0,0
0,0,0
12:48:08,0.296,22.4
0,0,0
0,0,0
12:48:10,0.296,22.4
0,0,0
0,0,0
12:48:12,0.296,22.4
0,0,0
0,0,0
12:48:14,0.296,22.4
0,0,0
0,0,0
12:48:16,0.297,22.4
0,0,0
0,0,0
12:48:18,0.297,22.4
0,0,0
0,0,0
12:48:20,0.297,22.4
0,0,0
0,0,0
12:48:22,0.297,22.4
0,0,0
0,0,0
12:48:24,0.297,22.4
0,0,0
0,0,0
12:48:26,0.297,22.4
0,0,0
0,0,0
12:48:28,0.297,22.4
0,0,0
0,0,0
12:48:30,0.297,22.4
0,0,0
0,0,0
12:48:32,0.297,22.4
0,0,0
0,0,0
12:48:34,0.297,22.4
0,0,0
0,0,0
12:48:36,0.297,22.4
0,0,0
0,0,0
12:48:38,0.297,22.4
0,0,0
0,0,0
12:48:40,0.297,22.4
0,0,0
0,0,0
12:48:42,0.297,22.4
0,0,0
0,0,0
12:48:44,0.297,22.4
0,0,0
0,0,0
12:48:46,0.297,22.4
0,0,0
0,0,0
12:48:48,0.297,22.4
0,0,0
0,0,0
12:48:50,0.297,22.4
0,0,0
0,0,0
12:48:52,0.297,22.4
0,0,0
0,0,0
12:48:54,0.297,22.4
0,0,0
0,0,0
12:48:56,0.297,22.4
0,0,0
0,0,0
12:48:58,0.297,22.4
0,0,0
0,0,0
12:49:00,0.297,22.4
0,0,0
0,0,0
12:49:02,0.297,22.4
0,0,0
0,0,0
12:49:04,0.297,22.4
0,0,0
0,0,0
12:49:06,0.297,22.4
0,0,0
0,0,0
12:49:08,0.297,22.4
0,0,0
0,0,0
12:49:10,0.297,22.4
0,0,0
0,0,0
12:49:12,0.297,22.4
0,0,0
0,0,0
12:49:14,0.297,22.4
0,0,0
0,0,0
12:49:16,0.297,22.4
0,0,0
0,0,0
12:49:18,0.297,22.4
0,0,0
0,0,0
12:49:20,0.297,22.4
0,0,0
0,0,0
12:49:22,0.297,22.4
0,0,0
0,0,0
12:49:24,0.297,22.4
0,0,0
0,0,0
12:49:26,0.297,22.4
0,0,0
0,0,0
12:49:28,0.297,22.4
0,0,0
0,0,0
12:49:30,0.297,22.4
0,0,0
0,0,0
12:49:32,0.297,22.4
0,0,0
0,0,0
12:49:34,0.297,22.4
0,0,0
0,0,0
12:49:36,0.297,22.4
0,0,0
0,0,0
12:49:38,0.297,22.4
0,0,0
0,0,0
12:49:40,0.297,22.4
0,0,0
0,0,0
12:49:42,0.297,22.4
0,0,0
0,0,0
12:49:44,0.297,22.4
0,0,0
0,0,0
12:49:46,0.297,22.4
0,0,0
0,0,0
12:49:48,0.297,22.4
0,0,0
0,0,0
12:49:50,0.297,22.4
0,0,0
0,0,0
12:49:52,0.297,22.4
0,0,0
0,0,0
12:49:54,0.297,22.4
0,0,0
0,0,0
12:49:56,0.297,22.4
0,0,0
0,0,0
12:49:58,0.297,22.4
0,0,0
0,0,0
12:50:00,0.297,22.4
0,0,0
0,0,0
12:50:02,0.297,22.4
0,0,0
0,0,0
12:50:04,0.297,22.4
0,0,0
0,0,0
12:50:06,0.297,22.4
0,0,0
0,0,0
12:50:08,0.297,22.4
0,0,0
0,0,0
12:50:10,0.297,22.4
0,0,0
0,0,0
12:50:12,0.297,22.4
0,0,0
0,0,0
12:50:14,0.297,22.4
0,0,0
0,0,0
12:50:16,0.297,22.4
0,0,0
0,0,0
12:50:18,0.297,22.4
0,0,0
0,0,0
12:50:20,0.297,22.4
0,0,0
0,0,0
12:50:22,0.297,22.4
0,0,0
0,0,0
12:50:24,0.297,22.4
0,0,0
0,0,0
12:50:26,0.297,22.4
0,0,0
0,0,0
12:50:28,0.297,22.4
0,0,0
0,0,0
12:50:30,0.297,22.4
0,0,0
0,0,0
12:50:32,0.297,22.4
0,0,0
0,0,0
12:50:34,0.297,22.4
0,0,0
0,0,0
12:50:36,0.297,22.4
0,0,0
0,0,0
12:50:38,0.297,22.4
0,0,0
0,0,0
12:50:40,0.297,22.4
0,0,0
0,0,0
12:50:42,0.297,22.4
0,0,0
0,0,0
12:50:44,0.297,22.4
0,0,0
0,0,0
12:50:46,0.297,22.4
0,0,0
0,0,0
12:50:48,0.297,22.4
0,0,0
0,0,0
12:50:50,0.297,22.4
0,0,0
0,0,0
12:50:52,0.297,22.4
0,0,0
0,0,0
12:50:54,0.297,22.4
0,0,0
0,0,0
12:50:56,0.297,22.4
0,0,0
0,0,0
12:50:58,0.297,22.4
0,0,0
0,0,0
12:51:00,0.297,22.4
0,0,0
0,0,0
12:51:02,0.297,22.4
0,0,0
0,0,0
12:51:04,0.126,22.4
0,0,0
0,0,0
12:51:06,0,22.4
0,0,0
0,0,0
12:51:08,0,22.3
0,0,0
0,0,0
12:51:10,0,22.3
0,0,0
0,0,0
12:51:12,0.934,22.3
0,0,0
0,0,0
12:51:14,0.915,22.3
0,0,0
0,0,0
12:51:16,0.915,22.3
0,0,0
0,0,0
12:51:18,0.915,22.3
0,0,0
0,0,0
12:51:20,0.915,22.3
0,0,0
0,0,0
12:51:22,0.915,22.3
0,0,0
0,0,0
12:51:24,0.915,22.4
0,0,0
0,0,0
12:51:26,0.915,22.4
0,0,0
0,0,0
12:51:28,0.915,22.4
0,0,0
0,0,0
12:51:30,0.915,22.4
0,0,0
0,0,0
12:51:32,0.914,22.4
0,0,0
0,0,0
12:51:34,0.915,22.4
0,0,0
0,0,0
12:51:36,0.915,22.4
0,0,0
0,0,0
12:51:38,0.915,22.4
0,0,0
0,0,0
12:51:40,0.915,22.4
0,0,0
0,0,0
12:51:42,0.915,22.4
0,0,0
0,0,0
12:51:44,0.915,22.4
0,0,0
0,0,0
12:51:46,0.915,22.4
0,0,0
0,0,0
12:51:48,0.915,22.4
0,0,0
0,0,0
12:51:50,0.915,22.4
0,0,0
0,0,0
12:51:52,0.916,22.4
0,0,0
0,0,0
12:51:54,0.916,22.4
0,0,0
0,0,0
12:51:56,0.916,22.4
0,0,0
0,0,0
12:51:58,0.916,22.4
0,0,0
0,0,0
12:52:00,0.916,22.4
0,0,0
0,0,0
12:52:02,0.916,22.4
0,0,0
0,0,0
12:52:04,0.916,22.5
0,0,0
0,0,0
12:52:06,0.915,22.5
0,0,0
0,0,0
12:52:08,0.915,22.5
0,0,0
0,0,0
12:52:10,0.914,22.5
0,0,0
0,0,0
12:52:12,0.914,22.5
0,0,0
0,0,0
12:52:14,0.914,22.5
0,0,0
0,0,0
12:52:16,0.914,22.5
0,0,0
0,0,0
12:52:18,0.914,22.5
0,0,0
0,0,0
12:52:20,0.914,22.5
0,0,0
0,0,0
12:52:22,0.914,22.5
0,0,0
0,0,0
12:52:24,0.915,22.5
0,0,0
0,0,0
12:52:26,0.915,22.5
0,0,0
0,0,0
12:52:28,0.915,22.5
0,0,0
0,0,0
12:52:30,0.915,22.5
0,0,0
0,0,0
12:52:32,0.915,22.5
0,0,0
0,0,0
12:52:34,0.915,22.5
0,0,0
0,0,0
12:52:36,0.915,22.5
0,0,0
0,0,0
12:52:38,0.915,22.5
0,0,0
0,0,0
12:52:40,0.915,22.5
0,0,0
0,0,0
12:52:42,0.915,22.5
0,0,0
0,0,0
12:52:44,0.915,22.5
0,0,0
0,0,0
12:52:46,0.915,22.5
0,0,0
0,0,0
12:52:48,0.915,22.5
0,0,0
0,0,0
12:52:50,0.916,22.5
0,0,0
0,0,0
12:52:52,0.916,22.5
0,0,0
0,0,0
12:52:54,0.916,22.5
0,0,0
0,0,0
12:52:56,0.916,22.5
0,0,0
0,0,0
12:52:58,0.916,22.5
0,0,0
0,0,0
12:53:00,0.916,22.5
0,0,0
0,0,0
12:53:02,0.916,22.5
0,0,0
0,0,0
12:53:04,0.916,22.5
0,0,0
0,0,0
12:53:06,0.916,22.5
0,0,0
0,0,0
12:53:08,0.916,22.5
0,0,0
0,0,0
12:53:10,0.916,22.5
0,0,0
0,0,0
12:53:12,0.916,22.5
0,0,0
0,0,0
12:53:14,0.917,22.5
0,0,0
0,0,0
12:53:16,0.917,22.5
0,0,0
0,0,0
12:53:18,0.917,22.5
0,0,0
0,0,0
12:53:20,0.917,22.5
0,0,0
0,0,0
12:53:22,0.917,22.5
0,0,0
0,0,0
12:53:24,0.917,22.5
0,0,0
0,0,0
12:53:26,0.917,22.5
0,0,0
0,0,0
12:53:28,0.917,22.6
0,0,0
0,0,0
12:53:30,0.916,22.6
0,0,0
0,0,0
12:53:32,0.916,22.6
0,0,0
0,0,0
12:53:34,0.915,22.6
0,0,0
0,0,0
12:53:36,0.915,22.6
0,0,0
0,0,0
12:53:38,0.915,22.5
0,0,0
0,0,0
12:53:40,0.915,22.6
0,0,0
0,0,0
12:53:42,0.916,22.6
0,0,0
0,0,0
12:53:44,0.916,22.6
0,0,0
0,0,0
12:53:46,0.916,22.6
0,0,0
0,0,0
12:53:48,0.916,22.6
0,0,0
0,0,0
12:53:50,0.916,22.6
0,0,0
0,0,0
12:53:52,0.916,22.6
0,0,0
0,0,0
12:53:54,0.916,22.6
0,0,0
0,0,0
12:53:56,0.916,22.6
0,0,0
0,0,0
12:53:58,0.916,22.6
0,0,0
0,0,0
12:54:00,0.916,22.6
0,0,0
0,0,0
12:54:02,0.916,22.6
0,0,0
0,0,0
12:54:04,0.916,22.6
0,0,0
0,0,0
12:54:06,0.916,22.6
0,0,0
0,0,0
12:54:08,0.916,22.6
0,0,0
0,0,0
12:54:10,0.916,22.6
0,0,0
0,0,0
12:54:12,0.916,22.6
0,0,0
0,0,0
12:54:14,0.916,22.6
0,0,0
0,0,0
12:54:16,0.916,22.6
0,0,0
0,0,0
12:54:18,0.916,22.6
0,0,0
0,0,0
12:54:20,0.916,22.6
0,0,0
0,0,0
12:54:22,0.917,22.6
0,0,0
0,0,0
12:54:24,0.916,22.6
0,0,0
0,0,0
12:54:26,0.916,22.6
0,0,0
0,0,0
12:54:28,0.916,22.6
0,0,0
0,0,0
12:54:30,0.916,22.6
0,0,0
0,0,0
12:54:32,0.917,22.6
0,0,0
0,0,0
12:54:34,0.917,22.6
0,0,0
0,0,0
12:54:36,0.917,22.6
0,0,0
0,0,0
12:54:38,0.917,22.6
0,0,0
0,0,0
12:54:40,0.917,22.6
0,0,0
0,0,0
12:54:42,0.917,22.6
0,0,0
0,0,0
12:54:44,0.917,22.6
0,0,0
0,0,0
12:54:46,0.917,22.6
0,0,0
0,0,0
12:54:48,0.917,22.6
0,0,0
0,0,0
12:54:50,0.917,22.6
0,0,0
0,0,0
12:54:52,0.917,22.6
0,0,0
0,0,0
12:54:54,0.917,22.6
0,0,0
0,0,0
12:54:56,0.917,22.6
0,0,0
0,0,0
12:54:58,0.917,22.6
0,0,0
0,0,0
12:55:00,0.917,22.6
0,0,0
0,0,0
12:55:02,0.917,22.6
0,0,0
0,0,0
12:55:04,0.917,22.6
0,0,0
0,0,0
12:55:06,0.917,22.6
0,0,0
0,0,0
12:55:08,0.917,22.6
0,0,0
0,0,0
12:55:10,0.917,22.6
0,0,0
0,0,0
12:55:12,0.917,22.6
0,0,0
0,0,0
12:55:14,0.917,22.6
0,0,0
0,0,0
12:55:16,0.917,22.6
0,0,0
0,0,0
12:55:18,0.917,22.6
0,0,0
0,0,0
12:55:20,0.917,22.6
0,0,0
0,0,0
12:55:22,0.917,22.6
0,0,0
0,0,0
12:55:24,0.917,22.6
0,0,0
0,0,0
12:55:26,0.917,22.6
0,0,0
0,0,0
12:55:28,0.917,22.6
0,0,0
0,0,0
12:55:30,0.917,22.6
0,0,0
0,0,0
12:55:32,0.917,22.6
0,0,0
0,0,0
12:55:34,0.917,22.6
0,0,0
0,0,0
12:55:36,0.917,22.6
0,0,0
0,0,0
12:55:38,0.917,22.6
0,0,0
0,0,0
12:55:40,0.917,22.6
0,0,0
0,0,0
12:55:42,0.917,22.6
0,0,0
0,0,0
12:55:44,0.917,22.6
0,0,0
0,0,0
12:55:46,0.917,22.6
0,0,0
0,0,0
12:55:48,0.917,22.6
0,0,0
0,0,0
12:55:50,0.917,22.6
0,0,0
0,0,0
12:55:52,0.917,22.6
0,0,0
0,0,0
12:55:54,0.917,22.6
0,0,0
0,0,0
12:55:56,0.917,22.6
0,0,0
0,0,0
12:55:58,0.917,22.6
0,0,0
0,0,0
12:56:00,0.917,22.6
0,0,0
0,0,0
12:56:02,0.917,22.6
0,0,0
0,0,0
12:56:04,0.917,22.6
0,0,0
0,0,0
12:56:06,0.917,22.6
0,0,0
0,0,0
12:56:08,0.917,22.6
0,0,0
0,0,0
12:56:10,0.917,22.6
0,0,0
0,0,0
12:56:12,0.917,22.6
0,0,0
0,0,0
12:56:14,0.917,22.6
0,0,0
0,0,0
12:56:16,0.917,22.6
0,0,0
0,0,0
12:56:18,0.917,22.6
0,0,0
0,0,0
12:56:20,0.917,22.6
0,0,0
0,0,0
12:56:22,0.917,22.6
0,0,0
0,0,0
12:56:24,0.917,22.6
0,0,0
0,0,0
