Time,Conductivity,"Temperature, C"
0,0,0
12:24:38,14.9,22.5
0,0,0
0,0,0
12:24:40,15,22.5
0,0,0
0,0,0
12:24:42,15,22.5
0,0,0
0,0,0
12:24:44,15,22.5
0,0,0
0,0,0
12:24:46,14.9,22.5
0,0,0
0,0,0
12:24:48,14.9,22.5
0,0,0
0,0,0
12:24:50,14.9,22.5
0,0,0
0,0,0
12:24:52,14.9,22.5
0,0,0
0,0,0
12:24:54,14.9,22.5
0,0,0
0,0,0
12:24:56,14.9,22.5
0,0,0
0,0,0
12:24:58,14.9,22.5
0,0,0
0,0,0
12:25:00,14.9,22.5
0,0,0
0,0,0
12:25:02,15,22.5
0,0,0
0,0,0
12:25:04,15,22.5
0,0,0
0,0,0
12:25:06,15,22.5
0,0,0
0,0,0
12:25:08,15,22.5
0,0,0
0,0,0
12:25:10,15,22.5
0,0,0
0,0,0
12:25:12,15,22.5
0,0,0
0,0,0
12:25:14,15,22.5
0,0,0
0,0,0
12:25:16,15,22.5
0,0,0
0,0,0
12:25:18,15,22.5
0,0,0
0,0,0
12:25:20,14.9,22.5
0,0,0
0,0,0
12:25:22,14.9,22.5
0,0,0
0,0,0
12:25:24,14.9,22.5
0,0,0
0,0,0
12:25:26,14.9,22.5
0,0,0
0,0,0
12:25:28,14.9,22.5
0,0,0
0,0,0
12:25:30,14.9,22.5
0,0,0
0,0,0
12:25:32,14.9,22.5
0,0,0
0,0,0
12:25:34,14.9,22.5
0,0,0
0,0,0
12:25:36,14.9,22.5
0,0,0
0,0,0
12:25:38,14.9,22.5
0,0,0
0,0,0
12:25:40,14.9,22.5
0,0,0
0,0,0
12:25:42,14.9,22.5
0,0,0
0,0,0
12:25:44,14.9,22.5
0,0,0
0,0,0
12:25:46,14.9,22.5
0,0,0
0,0,0
12:25:48,14.9,22.5
0,0,0
0,0,0
12:25:50,14.9,22.5
0,0,0
0,0,0
12:25:52,14.9,22.5
0,0,0
0,0,0
12:25:54,14.9,22.5
0,0,0
0,0,0
12:25:56,14.9,22.5
0,0,0
0,0,0
12:25:58,14.9,22.5
0,0,0
0,0,0
12:26:00,14.9,22.5
0,0,0
0,0,0
12:26:02,14.9,22.5
0,0,0
0,0,0
12:26:04,14.9,22.5
0,0,0
0,0,0
12:26:06,14.9,22.5
0,0,0
0,0,0
12:26:08,14.9,22.5
0,0,0
0,0,0
12:26:10,14.9,22.5
0,0,0
0,0,0
12:26:12,14.9,22.5
0,0,0
0,0,0
12:26:14,14.9,22.5
0,0,0
0,0,0
12:26:16,14.9,22.5
0,0,0
0,0,0
12:26:18,14.9,22.5
0,0,0
0,0,0
12:26:20,14.9,22.5
0,0,0
0,0,0
12:26:22,14.9,22.5
0,0,0
0,0,0
12:26:24,14.9,22.5
0,0,0
0,0,0
12:26:26,14.9,22.5
0,0,0
0,0,0
12:26:28,14.9,22.5
0,0,0
0,0,0
12:26:30,14.9,22.5
0,0,0
0,0,0
12:26:32,14.9,22.5
0,0,0
0,0,0
12:26:34,14.9,22.5
0,0,0
0,0,0
12:26:36,14.9,22.5
0,0,0
0,0,0
12:26:38,14.9,22.5
0,0,0
0,0,0
12:26:40,14.9,22.5
0,0,0
0,0,0
12:26:42,14.9,22.5
0,0,0
0,0,0
12:26:44,14.9,22.5
0,0,0
0,0,0
12:26:46,14.9,22.5
0,0,0
