Time,"Conductivity, mS","Temperature, C"
12:37:08,0.641,22.7
0,0,0
0,0,0
12:37:10,0.643,22.7
0,0,0
0,0,0
12:37:12,0.644,22.7
0,0,0
0,0,0
12:37:14,0.644,22.7
0,0,0
0,0,0
12:37:16,0.646,22.7
0,0,0
0,0,0
12:37:18,0.648,22.7
0,0,0
0,0,0
12:37:20,0.649,22.7
0,0,0
0,0,0
12:37:22,0.651,22.7
0,0,0
0,0,0
12:37:24,0.653,22.8
0,0,0
0,0,0
12:37:26,0.654,22.8
0,0,0
0,0,0
12:37:28,0.655,22.8
0,0,0
0,0,0
12:37:30,0.656,22.8
0,0,0
0,0,0
12:37:32,0.656,22.8
0,0,0
0,0,0
12:37:34,0.657,22.8
0,0,0
0,0,0
12:37:36,0.659,22.8
0,0,0
0,0,0
12:37:38,0.661,22.9
0,0,0
0,0,0
12:37:40,0.662,22.9
0,0,0
0,0,0
12:37:42,0.663,22.9
0,0,0
0,0,0
12:37:44,0.664,22.9
0,0,0
0,0,0
12:37:46,0.665,22.9
0,0,0
0,0,0
12:37:48,0.666,22.9
0,0,0
0,0,0
12:37:50,0.668,22.9
0,0,0
0,0,0
12:37:52,0.669,22.9
0,0,0
0,0,0
12:37:54,0.669,22.9
0,0,0
0,0,0
12:37:56,0.671,22.9
0,0,0
0,0,0
12:37:58,0.672,23
0,0,0
0,0,0
12:38:00,0.673,23
0,0,0
0,0,0
12:38:02,0.674,23
0,0,0
0,0,0
12:38:04,0.675,23
0,0,0
0,0,0
12:38:06,0.677,23
0,0,0
0,0,0
12:38:08,0.678,23
0,0,0
0,0,0
12:38:10,0.68,23
0,0,0
0,0,0
12:38:12,0.68,23
0,0,0
0,0,0
12:38:14,0.681,23
0,0,0
0,0,0
12:38:16,0.682,23
0,0,0
0,0,0
12:38:18,0.684,23
0,0,0
0,0,0
12:38:20,0.685,23.1
0,0,0
0,0,0
12:38:22,0.686,23.1
0,0,0
0,0,0
12:38:24,0.687,23.1
0,0,0
0,0,0
12:38:26,0.688,23.1
0,0,0
0,0,0
12:38:28,0.689,23.1
0,0,0
0,0,0
12:38:30,0.689,23.1
0,0,0
0,0,0
12:38:32,0.69,23.1
0,0,0
0,0,0
12:38:34,0.692,23.1
0,0,0
0,0,0
12:38:36,0.693,23.1
0,0,0
0,0,0
12:38:38,0.695,23.1
0,0,0
0,0,0
12:38:40,0.696,23.2
0,0,0
0,0,0
12:38:42,0.697,23.2
0,0,0
0,0,0
12:38:44,0.697,23.2
0,0,0
0,0,0
12:38:46,0.698,23.2
0,0,0
0,0,0
12:38:48,0.699,23.2
0,0,0
0,0,0
12:38:50,0.7,23.2
0,0,0
0,0,0
12:38:52,0.7,23.2
0,0,0
0,0,0
12:38:54,0.702,23.2
0,0,0
0,0,0
12:38:56,0.703,23.2
0,0,0
0,0,0
12:38:58,0.704,23.2
0,0,0
0,0,0
12:39:00,0.705,23.2
0,0,0
0,0,0
12:39:02,0.707,23.3
0,0,0
0,0,0
12:39:04,0.707,23.3
0,0,0
0,0,0
12:39:06,0.708,23.3
0,0,0
0,0,0
12:39:08,0.709,23.3
0,0,0
0,0,0
12:39:10,0.709,23.3
0,0,0
0,0,0
12:39:12,0.71,23.3
0,0,0
0,0,0
12:39:14,0.711,23.3
0,0,0
0,0,0
12:39:16,0.712,23.3
0,0,0
0,0,0
12:39:18,0.714,23.3
0,0,0
0,0,0
12:39:20,0.715,23.3
0,0,0
0,0,0
12:39:22,0.716,23.3
0,0,0
0,0,0
12:39:24,0.717,23.4
0,0,0
0,0,0
12:39:26,0.717,23.4
0,0,0
0,0,0
12:39:28,0.717,23.4
0,0,0
0,0,0
12:39:30,0.718,23.4
0,0,0
0,0,0
12:39:32,0.719,23.4
0,0,0
0,0,0
12:39:34,0.72,23.4
0,0,0
0,0,0
12:39:36,0.721,23.4
0,0,0
0,0,0
12:39:38,0.722,23.4
0,0,0
0,0,0
12:39:40,0.723,23.4
0,0,0
0,0,0
12:39:42,0.724,23.4
0,0,0
0,0,0
12:39:44,0.725,23.4
0,0,0
0,0,0
12:39:46,0.726,23.4
0,0,0
0,0,0
12:39:48,0.727,23.4
0,0,0
0,0,0
12:39:50,0.728,23.4
0,0,0
0,0,0
12:39:52,0.728,23.4
0,0,0
0,0,0
12:39:54,0.729,23.5
0,0,0
0,0,0
12:39:56,0.73,23.5
0,0,0
0,0,0
12:39:58,0.731,23.5
0,0,0
0,0,0
12:40:00,0.732,23.5
0,0,0
0,0,0
12:40:02,0.732,23.5
0,0,0
0,0,0
12:40:04,0.733,23.5
0,0,0
0,0,0
12:40:06,0.734,23.5
0,0,0
0,0,0
12:40:08,0.734,23.5
0,0,0
0,0,0
12:40:10,0.735,23.5
0,0,0
0,0,0
12:40:12,0.736,23.5
0,0,0
0,0,0
12:40:14,0.737,23.5
0,0,0
0,0,0
12:40:16,0.739,23.5
0,0,0
0,0,0
12:40:18,0.74,23.5
0,0,0
0,0,0
12:40:20,0.741,23.6
0,0,0
0,0,0
12:40:22,0.741,23.6
0,0,0
0,0,0
12:40:24,0.741,23.6
0,0,0
0,0,0
12:40:26,0.741,23.6
0,0,0
0,0,0
12:40:28,0.742,23.6
0,0,0
0,0,0
12:40:30,0.742,23.6
0,0,0
0,0,0
12:40:32,0.743,23.6
0,0,0
0,0,0
12:40:34,0.745,23.6
0,0,0
0,0,0
12:40:36,0.746,23.6
0,0,0
0,0,0
12:40:38,0.747,23.6
0,0,0
0,0,0
12:40:40,0.747,23.6
0,0,0
0,0,0
12:40:42,0.748,23.6
0,0,0
0,0,0
12:40:44,0.749,23.6
0,0,0
0,0,0
12:40:46,0.75,23.6
0,0,0
0,0,0
12:40:48,0.751,23.6
0,0,0
0,0,0
12:40:50,0.751,23.6
0,0,0
0,0,0
12:40:52,0.752,23.6
0,0,0
0,0,0
12:40:54,0.753,23.7
0,0,0
0,0,0
12:40:56,0.753,23.7
0,0,0
0,0,0
12:40:58,0.754,23.7
0,0,0
0,0,0
12:41:00,0.754,23.7
0,0,0
0,0,0
12:41:02,0.755,23.7
0,0,0
0,0,0
12:41:04,0.755,23.7
0,0,0
0,0,0
12:41:06,0.756,23.7
0,0,0
0,0,0
12:41:08,0.757,23.7
0,0,0
0,0,0
12:41:10,0.758,23.7
0,0,0
0,0,0
12:41:12,0.758,23.7
0,0,0
0,0,0
12:41:14,0.758,23.7
0,0,0
0,0,0
12:41:16,0.759,23.7
0,0,0
0,0,0
12:41:18,0.76,23.7
0,0,0
0,0,0
12:41:20,0.761,23.7
0,0,0
0,0,0
12:41:22,0.762,23.7
0,0,0
0,0,0
12:41:24,0.763,23.7
0,0,0
0,0,0
12:41:26,0.763,23.8
0,0,0
0,0,0
12:41:28,0.764,23.8
0,0,0
0,0,0
12:41:30,0.764,23.8
0,0,0
0,0,0
12:41:32,0.764,23.8
0,0,0
0,0,0
12:41:34,0.764,23.8
0,0,0
0,0,0
12:41:36,0.765,23.8
0,0,0
0,0,0
12:41:38,0.766,23.8
0,0,0
0,0,0
12:41:40,0.767,23.8
0,0,0
0,0,0
12:41:42,0.767,23.8
0,0,0
0,0,0
12:41:44,0.768,23.8
0,0,0
0,0,0
12:41:46,0.769,23.8
0,0,0
0,0,0
12:41:48,0.769,23.8
0,0,0
0,0,0
12:41:50,0.769,23.8
0,0,0
0,0,0
12:41:52,0.771,23.8
0,0,0
0,0,0
12:41:54,0.772,23.8
0,0,0
0,0,0
12:41:56,0.774,23.8
0,0,0
0,0,0
12:41:58,0.775,23.8
0,0,0
0,0,0
12:42:00,0.776,23.8
0,0,0
0,0,0
12:42:02,0.776,23.8
0,0,0
0,0,0
12:42:04,0.777,23.9
0,0,0
0,0,0
12:42:06,0.777,23.9
0,0,0
0,0,0
12:42:08,0.778,23.9
0,0,0
0,0,0
12:42:10,0.778,23.9
0,0,0
0,0,0
12:42:12,0.778,23.9
0,0,0
0,0,0
12:42:14,0.778,23.9
0,0,0
0,0,0
12:42:16,0.779,23.9
0,0,0
0,0,0
12:42:18,0.78,23.9
0,0,0
0,0,0
12:42:20,0.781,23.9
0,0,0
0,0,0
12:42:22,0.782,23.9
0,0,0
0,0,0
12:42:24,0.782,23.9
0,0,0
0,0,0
12:42:26,0.783,23.9
0,0,0
0,0,0
12:42:28,0.783,23.9
0,0,0
0,0,0
12:42:30,0.783,23.9
0,0,0
0,0,0
12:42:32,0.784,23.9
0,0,0
0,0,0
12:42:34,0.784,23.9
0,0,0
0,0,0
12:42:36,0.785,23.9
0,0,0
0,0,0
12:42:38,0.786,23.9
0,0,0
0,0,0
12:42:40,0.787,23.9
0,0,0
0,0,0
12:42:42,0.787,23.9
0,0,0
0,0,0
12:42:44,0.788,23.9
0,0,0
0,0,0
12:42:46,0.788,23.9
0,0,0
0,0,0
12:42:48,0.788,23.9
0,0,0
0,0,0
12:42:50,0.788,24
0,0,0
0,0,0
12:42:52,0.789,24
0,0,0
0,0,0
12:42:54,0.789,24
0,0,0
0,0,0
12:42:56,0.79,24
0,0,0
0,0,0
12:42:58,0.79,24
0,0,0
0,0,0
12:43:00,0.791,24
0,0,0
0,0,0
12:43:02,0.791,24
0,0,0
0,0,0
12:43:04,0.792,24
0,0,0
0,0,0
12:43:06,0.792,24
0,0,0
0,0,0
12:43:08,0.792,24
0,0,0
0,0,0
12:43:10,0.793,24
0,0,0
0,0,0
12:43:12,0.793,24
0,0,0
0,0,0
12:43:14,0.794,24
0,0,0
0,0,0
12:43:16,0.795,24
0,0,0
0,0,0
12:43:18,0.796,24
0,0,0
0,0,0
12:43:20,0.796,24
0,0,0
0,0,0
12:43:22,0.797,24
0,0,0
0,0,0
12:43:24,0.797,24
0,0,0
0,0,0
12:43:26,0.797,24
0,0,0
0,0,0
12:43:28,0.798,24
0,0,0
0,0,0
12:43:30,0.798,24
0,0,0
0,0,0
12:43:32,0.799,24
0,0,0
0,0,0
12:43:34,0.799,24
0,0,0
0,0,0
12:43:36,0.8,24
0,0,0
0,0,0
12:43:38,0.8,24
0,0,0
0,0,0
12:43:40,0.801,24.1
0,0,0
0,0,0
12:43:42,0.801,24.1
0,0,0
0,0,0
12:43:44,0.801,24
0,0,0
0,0,0
12:43:46,0.801,24.1
0,0,0
0,0,0
12:43:48,0.801,24.1
0,0,0
0,0,0
12:43:50,0.801,24.1
0,0,0
0,0,0
12:43:52,0.802,24.1
0,0,0
0,0,0
12:43:54,0.802,24.1
0,0,0
0,0,0
12:43:56,0.803,24.1
0,0,0
0,0,0
12:43:58,0.803,24.1
0,0,0
0,0,0
12:44:00,0.804,24.1
0,0,0
0,0,0
12:44:02,0.804,24.1
0,0,0
0,0,0
12:44:04,0.804,24.1
0,0,0
0,0,0
12:44:06,0.804,24.1
0,0,0
0,0,0
12:44:08,0.805,24.1
0,0,0
0,0,0
12:44:10,0.805,24.1
0,0,0
0,0,0
12:44:12,0.806,24.1
0,0,0
