Time,"Conductivity, mS","Temperature, C"
0,0,0
13:54:28,4.4,21.7
0,0,0
0,0,0
13:54:30,4.4,21.7
0,0,0
0,0,0
13:54:32,4.3,21.7
0,0,0
0,0,0
13:54:34,4.3,21.7
0,0,0
0,0,0
13:54:36,4.3,21.7
0,0,0
0,0,0
13:54:38,4.2,21.7
0,0,0
0,0,0
13:54:40,4.2,21.7
0,0,0
0,0,0
13:54:42,4.1,21.7
0,0,0
0,0,0
13:54:44,4.1,21.7
0,0,0
0,0,0
13:54:46,4,21.7
0,0,0
0,0,0
13:54:48,3.9,21.7
0,0,0
0,0,0
13:54:50,3.8,21.7
0,0,0
0,0,0
13:54:52,3.8,21.7
0,0,0
0,0,0
13:54:54,3.7,21.7
0,0,0
0,0,0
13:54:56,3.6,21.7
0,0,0
0,0,0
13:54:58,3.4,21.7
0,0,0
0,0,0
13:55:00,3.3,21.7
0,0,0
0,0,0
13:55:02,3.2,21.7
0,0,0
0,0,0
13:55:04,3.1,21.7
0,0,0
0,0,0
13:55:06,2.9,21.7
0,0,0
0,0,0
13:55:08,2.8,21.7
0,0,0
0,0,0
13:55:10,2.7,21.7
0,0,0
0,0,0
13:55:12,2.7,21.7
0,0,0
0,0,0
13:55:14,2.7,21.7
0,0,0
0,0,0
13:55:16,2.6,21.7
0,0,0
0,0,0
13:55:18,2.5,21.7
0,0,0
0,0,0
13:55:20,2.4,21.7
0,0,0
0,0,0
13:55:22,2.4,21.7
0,0,0
0,0,0
13:55:24,2.3,21.7
0,0,0
0,0,0
13:55:26,2.3,21.7
0,0,0
0,0,0
13:55:28,2.4,21.7
0,0,0
0,0,0
13:55:30,2.4,21.7
0,0,0
0,0,0
13:55:32,2.4,21.7
0,0,0
0,0,0
13:55:34,2.4,21.7
0,0,0
0,0,0
13:55:36,2.5,21.7
0,0,0
0,0,0
13:55:38,2.5,21.7
0,0,0
0,0,0
13:55:40,0,21.7
0,0,0
0,0,0
13:55:42,0,21.8
0,0,0
0,0,0
13:55:44,0,22.1
0,0,0
0,0,0
13:55:46,0,22.4
0,0,0
0,0,0
13:55:48,0,22.4
0,0,0
0,0,0
13:55:50,0.459,22.7
0,0,0
0,0,0
13:55:52,0.442,22.7
0,0,0
0,0,0
13:55:54,0.442,22.7
0,0,0
0,0,0
13:55:56,0.442,22.6
0,0,0
0,0,0
13:55:58,0.442,22.6
0,0,0
0,0,0
13:56:00,0.442,22.5
0,0,0
0,0,0
13:56:02,0.443,22.5
0,0,0
0,0,0
13:56:04,0.443,22.5
0,0,0
0,0,0
13:56:06,0.443,22.5
0,0,0
0,0,0
13:56:08,0.444,22.5
0,0,0
0,0,0
13:56:10,0.444,22.4
0,0,0
0,0,0
13:56:12,0.444,22.4
0,0,0
0,0,0
13:56:14,0.444,22.4
0,0,0
0,0,0
13:56:16,0.444,22.4
0,0,0
0,0,0
13:56:18,0.445,22.4
0,0,0
0,0,0
13:56:20,0.445,22.4
0,0,0
0,0,0
13:56:22,0.445,22.4
0,0,0
0,0,0
13:56:24,0.445,22.4
0,0,0
0,0,0
13:56:26,0.445,22.4
0,0,0
0,0,0
13:56:28,0.445,22.4
0,0,0
0,0,0
13:56:30,0.445,22.4
0,0,0
0,0,0
13:56:32,0.445,22.4
0,0,0
0,0,0
13:56:34,0.445,22.4
0,0,0
0,0,0
13:56:36,0.445,22.4
0,0,0
0,0,0
13:56:38,0.445,22.4
0,0,0
0,0,0
13:56:40,0.445,22.4
0,0,0
0,0,0
13:56:42,0.445,22.4
0,0,0
0,0,0
13:56:44,0.445,22.4
0,0,0
0,0,0
13:56:46,0.445,22.4
0,0,0
0,0,0
13:56:48,0.445,22.4
0,0,0
0,0,0
13:56:50,0.445,22.4
0,0,0
0,0,0
13:56:52,0.445,22.4
0,0,0
0,0,0
13:56:54,0.445,22.4
0,0,0
0,0,0
13:56:56,0.445,22.4
0,0,0
0,0,0
13:56:58,0.445,22.4
0,0,0
0,0,0
13:57:00,0.445,22.4
0,0,0
0,0,0
13:57:02,0.445,22.4
0,0,0
0,0,0
13:57:04,0.445,22.4
0,0,0
0,0,0
13:57:06,0.445,22.4
0,0,0
0,0,0
13:57:08,0.445,22.4
0,0,0
0,0,0
13:57:10,0.445,22.4
0,0,0
0,0,0
13:57:12,0.445,22.4
0,0,0
0,0,0
13:57:14,0.445,22.4
0,0,0
0,0,0
13:57:16,0.445,22.4
0,0,0
0,0,0
13:57:18,0.445,22.4
0,0,0
0,0,0
13:57:20,0.445,22.4
0,0,0
0,0,0
13:57:22,0.445,22.4
0,0,0
0,0,0
13:57:24,0.445,22.4
0,0,0
0,0,0
13:57:26,0.445,22.4
0,0,0
0,0,0
13:57:28,0.445,22.4
0,0,0
0,0,0
13:57:30,0.445,22.4
0,0,0
0,0,0
13:57:32,0.445,22.4
0,0,0
0,0,0
13:57:34,0.445,22.4
0,0,0
0,0,0
13:57:36,0.445,22.4
0,0,0
