Time,"Conductivity, mS","Temperature, C"
12:47:33,0.311,24.4
0,0,0
0,0,0
12:47:36,0.317,24.5
0,0,0
0,0,0
12:47:38,0.317,24.5
0,0,0
0,0,0
12:47:40,0.328,24.6
0,0,0
0,0,0
12:47:42,0.328,24.6
0,0,0
0,0,0
12:47:44,0.333,24.7
0,0,0
0,0,0
12:47:46,0.338,24.7
0,0,0
0,0,0
12:47:48,0.343,24.7
0,0,0
0,0,0
12:47:50,0.347,24.8
0,0,0
0,0,0
12:47:52,0.352,24.8
0,0,0
0,0,0
12:47:54,0.356,24.8
0,0,0
0,0,0
12:47:56,0.361,24.8
0,0,0
0,0,0
12:47:58,0.365,24.9
0,0,0
0,0,0
12:48:00,0.369,24.9
0,0,0
0,0,0
12:48:02,0.374,24.9
0,0,0
0,0,0
12:48:04,0.378,25
0,0,0
0,0,0
12:48:06,0.382,25
0,0,0
0,0,0
12:48:08,0.386,25
0,0,0
0,0,0
12:48:10,0.386,25
0,0,0
0,0,0
12:48:12,0.39,25.1
0,0,0
0,0,0
12:48:14,0.394,25.1
0,0,0
0,0,0
12:48:16,0.399,25.1
0,0,0
0,0,0
12:48:18,0.403,25.1
0,0,0
0,0,0
12:48:20,0.407,25.2
0,0,0
0,0,0
12:48:22,0.41,25.2
0,0,0
0,0,0
12:48:24,0.414,25.2
0,0,0
0,0,0
12:48:26,0.417,25.2
0,0,0
0,0,0
12:48:28,0.417,25.2
0,0,0
0,0,0
12:48:30,0.421,25.3
0,0,0
0,0,0
12:48:32,0.425,25.3
0,0,0
0,0,0
12:48:34,0.429,25.3
0,0,0
0,0,0
12:48:36,0.433,25.3
0,0,0
0,0,0
12:48:38,0.436,25.3
0,0,0
0,0,0
12:48:40,0.439,25.4
0,0,0
0,0,0
12:48:42,0.442,25.4
0,0,0
0,0,0
12:48:44,0.446,25.4
0,0,0
0,0,0
12:48:46,0.446,25.4
0,0,0
0,0,0
12:48:48,0.449,25.4
0,0,0
0,0,0
12:48:50,0.452,25.4
0,0,0
0,0,0
12:48:52,0.456,25.5
0,0,0
0,0,0
12:48:54,0.459,25.5
0,0,0
0,0,0
12:48:56,0.462,25.5
0,0,0
0,0,0
12:48:58,0.465,25.5
0,0,0
0,0,0
12:49:00,0.468,25.5
0,0,0
0,0,0
12:49:02,0.471,25.6
0,0,0
0,0,0
12:49:04,0.474,25.6
0,0,0
0,0,0
12:49:06,0.477,25.6
0,0,0
0,0,0
12:49:08,0.477,25.6
0,0,0
0,0,0
12:49:10,0.479,25.6
0,0,0
0,0,0
12:49:12,0.482,25.6
0,0,0
0,0,0
12:49:14,0.485,25.7
0,0,0
0,0,0
12:49:16,0.488,25.7
0,0,0
0,0,0
12:49:18,0.491,25.7
0,0,0
0,0,0
12:49:20,0.493,25.7
0,0,0
0,0,0
12:49:22,0.496,25.7
0,0,0
0,0,0
12:49:24,0.499,25.7
0,0,0
0,0,0
12:49:26,0.499,25.7
0,0,0
0,0,0
12:49:28,0.502,25.8
0,0,0
0,0,0
12:49:30,0.504,25.8
0,0,0
0,0,0
12:49:32,0.507,25.8
0,0,0
0,0,0
12:49:34,0.51,25.8
0,0,0
0,0,0
12:49:36,0.512,25.8
0,0,0
0,0,0
12:49:38,0.515,25.9
0,0,0
0,0,0
12:49:40,0.517,25.9
0,0,0
0,0,0
12:49:42,0.519,25.9
0,0,0
0,0,0
12:49:44,0.519,25.9
0,0,0
0,0,0
12:49:46,0.522,25.9
0,0,0
0,0,0
12:49:48,0.524,25.9
0,0,0
0,0,0
12:49:50,0.527,25.9
0,0,0
0,0,0
12:49:52,0.529,26
0,0,0
0,0,0
12:49:54,0.532,26
0,0,0
0,0,0
12:49:56,0.534,26
0,0,0
0,0,0
12:49:58,0.536,26
0,0,0
0,0,0
12:50:00,0.538,26
0,0,0
0,0,0
12:50:02,0.54,26
0,0,0
0,0,0
12:50:04,0.542,26
0,0,0
0,0,0
12:50:06,0.544,26
0,0,0
0,0,0
12:50:08,0.544,26.1
0,0,0
0,0,0
12:50:10,0.546,26.1
0,0,0
0,0,0
12:50:12,0.548,26.1
0,0,0
0,0,0
12:50:14,0.55,26.1
0,0,0
0,0,0
12:50:16,0.553,26.1
0,0,0
0,0,0
12:50:18,0.555,26.1
0,0,0
0,0,0
12:50:20,0.557,26.2
0,0,0
0,0,0
12:50:22,0.559,26.2
0,0,0
0,0,0
12:50:24,0.559,26.2
0,0,0
0,0,0
12:50:26,0.56,26.2
0,0,0
0,0,0
12:50:28,0.562,26.2
0,0,0
0,0,0
12:50:30,0.564,26.2
0,0,0
0,0,0
12:50:32,0.566,26.2
0,0,0
0,0,0
12:50:34,0.568,26.2
0,0,0
0,0,0
12:50:36,0.569,26.2
0,0,0
0,0,0
12:50:38,0.571,26.3
0,0,0
0,0,0
12:50:40,0.573,26.3
0,0,0
0,0,0
12:50:42,0.573,26.3
0,0,0
0,0,0
12:50:44,0.575,26.3
0,0,0
0,0,0
12:50:46,0.577,26.3
0,0,0
0,0,0
12:50:48,0.578,26.3
0,0,0
0,0,0
12:50:50,0.58,26.3
0,0,0
0,0,0
12:50:52,0.582,26.3
0,0,0
0,0,0
12:50:54,0.583,26.4
0,0,0
0,0,0
12:50:56,0.585,26.4
0,0,0
0,0,0
12:50:58,0.586,26.4
0,0,0
0,0,0
12:51:00,0.588,26.4
0,0,0
0,0,0
12:51:02,0.589,26.4
0,0,0
0,0,0
12:51:04,0.591,26.4
0,0,0
0,0,0
12:51:06,0.591,26.4
0,0,0
0,0,0
12:51:08,0.593,26.4
0,0,0
0,0,0
12:51:10,0.594,26.5
0,0,0
0,0,0
12:51:12,0.596,26.5
0,0,0
0,0,0
12:51:14,0.597,26.5
0,0,0
0,0,0
12:51:16,0.599,26.5
0,0,0
0,0,0
12:51:18,0.6,26.5
0,0,0
0,0,0
12:51:20,0.602,26.5
0,0,0
0,0,0
