Time,Conductivity (mS),Temperature (C)
11:06:44,0.899,20.6
0,0,0
0,0,0
11:06:46,0.899,20.6
0,0,0
0,0,0
11:06:48,0.899,20.7
0,0,0
0,0,0
11:06:50,0.899,20.7
0,0,0
0,0,0
11:06:52,0.899,20.6
0,0,0
0,0,0
11:06:54,0.899,20.6
0,0,0
0,0,0
11:06:56,0.206,20.6
0,0,0
0,0,0
11:06:58,2.3,20.6
0,0,0
0,0,0
11:07:00,3.4,20.6
0,0,0
0,0,0
11:07:02,3.4,20.6
0,0,0
0,0,0
11:07:04,2.1,20.6
0,0,0
0,0,0
11:07:06,2,20.6
0,0,0
0,0,0
11:07:08,2,20.6
0,0,0
0,0,0
11:07:10,1.9,20.6
0,0,0
0,0,0
11:07:12,1.9,20.6
0,0,0
0,0,0
11:07:14,1.8,20.6
0,0,0
0,0,0
11:07:16,1.8,20.6
0,0,0
0,0,0
11:07:18,1.8,20.6
0,0,0
0,0,0
11:07:20,1.8,20.7
0,0,0
0,0,0
11:07:22,1.8,20.6
0,0,0
0,0,0
11:07:24,1.8,20.7
0,0,0
0,0,0
11:07:26,1.8,20.7
0,0,0
0,0,0
11:07:28,1.9,20.7
0,0,0
0,0,0
11:07:30,1.9,20.7
0,0,0
0,0,0
11:07:32,1.8,20.7
0,0,0
0,0,0
11:07:34,1.8,20.6
0,0,0
0,0,0
11:07:36,1.8,20.7
0,0,0
0,0,0
11:07:38,1.8,20.7
0,0,0
0,0,0
11:07:40,1.8,20.7
0,0,0
0,0,0
11:07:42,1.9,20.7
0,0,0
0,0,0
11:07:44,1.9,20.7
0,0,0
0,0,0
11:07:46,1.9,20.7
0,0,0
0,0,0
11:07:48,1.9,20.7
0,0,0
0,0,0
11:07:50,1.9,20.7
0,0,0
0,0,0
11:07:52,1.9,20.6
0,0,0
0,0,0
11:07:54,1.9,20.7
0,0,0
0,0,0
11:07:56,1.9,20.6
0,0,0
0,0,0
11:07:58,0,20.7
0,0,0
0,0,0
11:08:00,2,20.7
0,0,0
0,0,0
11:08:02,2,20.7
0,0,0
0,0,0
11:08:04,2,20.7
0,0,0
0,0,0
11:08:06,2,20.7
0,0,0
0,0,0
11:08:08,2,20.7
0,0,0
0,0,0
11:08:10,2,20.7
0,0,0
0,0,0
11:08:12,2,20.7
0,0,0
0,0,0
11:08:14,2,20.6
0,0,0
0,0,0
11:08:16,2,20.7
0,0,0
0,0,0
11:08:18,2,20.7
0,0,0
0,0,0
11:08:20,2,20.7
0,0,0
0,0,0
11:08:22,2,20.7
0,0,0
0,0,0
11:08:24,2,20.7
0,0,0
0,0,0
11:08:26,2,20.7
0,0,0
0,0,0
11:08:28,2,20.7
0,0,0
0,0,0
11:08:30,2,20.7
0,0,0
0,0,0
11:08:32,2,20.6
0,0,0
0,0,0
11:08:34,2,20.7
0,0,0
0,0,0
11:08:36,2.1,20.7
0,0,0
0,0,0
11:08:38,2.1,20.7
0,0,0
0,0,0
11:08:40,2.1,20.7
0,0,0
0,0,0
11:08:42,2.1,20.7
0,0,0
0,0,0
11:08:44,2.1,20.7
0,0,0
0,0,0
11:08:46,2.1,20.7
0,0,0
0,0,0
11:08:48,2.1,20.7
0,0,0
0,0,0
11:08:50,2.1,20.6
0,0,0
0,0,0
11:08:52,2.1,20.7
0,0,0
0,0,0
11:08:54,2.1,20.6
0,0,0
0,0,0
11:08:56,2.1,20.7
0,0,0
0,0,0
11:08:58,2.1,20.7
0,0,0
0,0,0
11:09:00,2.1,20.7
0,0,0
0,0,0
11:09:02,2.1,20.7
0,0,0
0,0,0
11:09:04,2.1,20.7
0,0,0
0,0,0
11:09:06,2.1,20.7
0,0,0
0,0,0
11:09:08,2.1,20.7
0,0,0
0,0,0
11:09:10,2.1,20.7
0,0,0
0,0,0
11:09:12,2.1,20.7
0,0,0
0,0,0
11:09:14,2.1,20.7
0,0,0
0,0,0
11:09:16,2.1,20.7
0,0,0
0,0,0
11:09:18,2.1,20.7
0,0,0
0,0,0
11:09:20,2.1,20.7
0,0,0
0,0,0
11:09:22,2.1,20.7
0,0,0
0,0,0
11:09:24,2.1,20.7
0,0,0
0,0,0
11:09:26,2.1,20.7
0,0,0
0,0,0
11:09:28,2.1,20.7
0,0,0
0,0,0
11:09:30,2.1,20.6
0,0,0
0,0,0
11:09:32,2.1,20.6
0,0,0
0,0,0
11:09:34,2.1,20.7
0,0,0
0,0,0
11:09:36,2.1,20.6
0,0,0
0,0,0
11:09:38,2.2,20.7
0,0,0
0,0,0
11:09:40,2.2,20.7
0,0,0
0,0,0
11:09:42,2.2,20.7
0,0,0
0,0,0
11:09:44,2.2,20.6
0,0,0
0,0,0
11:09:46,2.2,20.7
0,0,0
0,0,0
11:09:48,2.2,20.7
0,0,0
0,0,0
11:09:50,2.2,20.7
0,0,0
0,0,0
11:09:52,2.2,20.7
0,0,0
0,0,0
11:09:54,2.2,20.6
0,0,0
0,0,0
