Time,Conductivity_in (mS),Conductivity_in @25*C (microS),Temperature_in,Conductivity_out (mS),Conductivity_out @25*C (microS),Temperature_out
10:54:25,15.93,16.64,22.75,0.45,0.46,23.5
10:54:26,14.45,14.95,23.25,0.45,0.47,23.25
10:54:27,14.45,15.02,23,1.28,1.31,23.75
10:54:28,13.8,14.27,23.25,0.45,0.47,23.25
10:54:29,14.45,14.95,23.25,0.45,0.47,23.25
10:54:30,13.8,14.27,23.25,0.84,0.87,23.25
10:54:31,15.93,16.48,23.25,0.84,0.87,23.25
10:54:32,13.8,14.49,22.5,0.84,0.87,23
10:54:33,13.8,14.49,22.5,1.28,1.32,23.25
10:54:34,14.45,14.95,23.25,1.28,1.32,23.25
10:54:35,13.06,13.58,23,1.28,1.32,23.5
10:54:36,13.8,14.49,22.5,1.28,1.32,23.5
10:54:37,13.06,13.44,23.5,0.45,0.46,23.5
10:54:38,14.44,14.94,23.25,0.84,0.87,23.25
10:54:39,13.06,13.44,23.5,0.84,0.87,23.25
10:54:40,13.06,13.51,23.25,1.28,1.32,23.5
10:54:41,13.8,14.42,22.75,1.28,1.32,23.5
10:54:42,13.8,14.35,23,1.73,1.78,23.5
10:54:43,14.45,14.95,23.25,0.84,0.87,23.25
10:54:44,13.06,13.58,23,0.45,0.47,23.25
10:54:45,13.06,13.64,22.75,1.28,1.33,23
10:54:46,13.8,14.27,23.25,0.84,0.87,23.25
10:54:47,14.44,15.08,22.75,0.84,0.87,23.25
10:54:48,13.8,14.35,23,1.28,1.32,23.25
10:54:49,12.31,12.73,23.25,0.84,0.87,23.25
10:54:50,13.8,14.49,22.5,1.28,1.32,23.5
10:54:50,13.05,13.43,23.5,1.28,1.32,23.25
10:54:51,10.83,11.2,23.25,1.73,1.79,23.25
10:54:52,12.31,12.73,23.25,1.28,1.32,23.25
10:54:53,12.31,12.73,23.25,1.28,1.32,23.25
10:54:54,13.06,13.58,23,0.84,0.88,22.75
10:54:55,13.8,14.27,23.25,1.28,1.32,23.5
10:54:56,12.31,12.67,23.5,0.84,0.86,23.5
10:54:57,13.06,13.64,22.75,1.73,1.8,23
10:54:58,13.05,13.43,23.5,1.73,1.8,23
